season,week,team,rating,rank
2019,3,UCLA,1497.7,102
2019,3,North Texas,1494.8,103
2019,3,Georgia Southern,1493.6,104
2019,3,UConn,1493.0,105
2019,3,Troy,1486.9,106
2019,3,Old Dominion,1486.4,107
2019,3,Western Kentucky,1486.2,108
2019,3,Colorado State,1485.0,109
2019,3,Florida International,1480.3,110
2019,3,Northern Illinois,1473.2,111
2019,3,San José State,1472.7,112
2019,3,UTEP,1471.0,113
2019,3,East Carolina,1464.9,114
2019,3,Ohio,1464.5,115
2019,3,Middle Tennessee,1462.7,116
2019,3,Miami (OH),1457.6,117
2019,3,Kent State,1455.3,118
2019,3,UTSA,1447.3,119
2019,3,UNLV,1447.2,120
2019,3,South Alabama,1439.3,121
2019,3,Ball State,1422.0,122
2019,3,Liberty,1421.1,123
2019,3,Texas State,1420.4,124
2019,3,Buffalo,1408.3,125
2019,3,Rice,1405.9,126
2019,3,Bowling Green,1400.1,127
2019,3,New Mexico State,1387.3,128
2019,3,Akron,1385.2,129
2019,3,Massachusetts,1348.5,130
2019,4,Ohio State,1835.7,1
2019,4,Alabama,1833.2,2
2019,4,Georgia,1813.9,3
2019,4,Clemson,1811.3,4
2019,4,LSU,1797.9,5
2019,4,Auburn,1780.2,6
2019,4,Florida,1765.3,7
2019,4,Wisconsin,1761.9,8
2019,4,Oklahoma,1761.1,9
2019,4,USC,1739.3,10
2019,4,Washington,1728.5,11
2019,4,Notre Dame,1725.6,12
2019,4,Texas,1724.4,13
2019,4,Oregon,1721.7,14
2019,4,Penn State,1720.1,15
2019,4,Michigan State,1708.9,16
2019,4,SMU,1698.8,17
2019,4,Virginia,1693.0,18
2019,4,Oklahoma State,1691.7,19
2019,4,Iowa,1691.3,20
2019,4,Nebraska,1690.7,21
2019,4,UCF,1686.9,22
2019,4,Baylor,1682.4,23
2019,4,Wake Forest,1677.5,24
2019,4,Mississippi State,1674.6,25
2019,4,California,1669.1,26
2019,4,Boise State,1667.0,27
2019,4,Michigan,1666.6,28
2019,4,Kansas State,1666.4,29
2019,4,Memphis,1666.0,30
2019,4,Utah,1662.7,31
2019,4,TCU,1657.6,32
2019,4,Missouri,1656.5,33
2019,4,Arizona State,1654.0,34
2019,4,Maryland,1654.0,35
2019,4,Florida State,1645.6,36
2019,4,Miami,1639.1,37
2019,4,Texas A&M,1638.9,38
2019,4,West Virginia,1637.0,39
2019,4,Minnesota,1636.6,40
2019,4,Colorado,1635.2,41
2019,4,Duke,1626.6,42
2019,4,Iowa State,1620.5,43
2019,4,Virginia Tech,1620.0,44
2019,4,Cincinnati,1619.9,45
2019,4,Washington State,1616.6,46
2019,4,Illinois,1615.7,47
2019,4,Indiana,1610.5,48
2019,4,North Carolina,1609.5,49
2019,4,Louisiana Tech,1609.2,50
2019,4,UAB,1608.5,51
2019,4,Ole Miss,1608.4,52
2019,4,NC State,1606.6,53
2019,4,App State,1602.9,54
2019,4,San Diego State,1602.0,55
2019,4,Arizona,1601.4,56
2019,4,Boston College,1600.6,57
2019,4,Tulane,1599.8,58
2019,4,Kentucky,1598.5,59
2019,4,Louisville,1583.4,60
2019,4,Wyoming,1578.9,61
2019,4,Nevada,1577.1,62
2019,4,Texas Tech,1574.1,63
2019,4,Utah State,1573.2,64
2019,4,Kansas,1572.0,65
2019,4,Louisiana,1569.7,66
2019,4,Syracuse,1569.2,67
2019,4,Pittsburgh,1567.5,68
2019,4,Army,1567.0,69
2019,4,Arkansas,1566.8,70
2019,4,Tennessee,1565.7,71
2019,4,Stanford,1563.5,72
2019,4,Toledo,1559.6,73
2019,4,Navy,1559.0,74
2019,4,Arkansas State,1554.8,75
2019,4,Hawai'i,1551.7,76
2019,4,Eastern Michigan,1547.8,77
2019,4,Marshall,1547.7,78
2019,4,South Carolina,1546.2,79
2019,4,Southern Miss,1544.7,80
2019,4,Purdue,1544.5,81
2019,4,BYU,1543.9,82
2019,4,Coastal Carolina,1542.1,83
2019,4,Georgia Tech,1542.0,84
2019,4,Troy,1542.0,85
2019,4,Western Michigan,1539.6,86
2019,4,Northwestern,1538.0,87
2019,4,Tulsa,1536.5,88
2019,4,UCLA,1530.5,89
2019,4,North Texas,1530.2,90
2019,4,Florida Atlantic,1528.0,91
2019,4,San José State,1525.4,92
2019,4,Oregon State,1522.2,93
2019,4,Central Michigan,1519.8,94
2019,4,Fresno State,1519.2,95
2019,4,Temple,1517.5,96
2019,4,Houston,1515.6,97
2019,4,New Mexico,1515.3,98
2019,4,Rutgers,1513.6,99
2019,4,Charlotte,1506.6,100
2019,4,South Florida,1499.4,101
2019,4,Georgia Southern,1493.6,102
2019,4,Kent State,1489.5,103
2019,4,Western Kentucky,1486.2,104
2019,4,Georgia State,1481.5,105
2019,4,Air Force,1481.3,106
2019,4,Buffalo,1479.3,107
2019,4,East Carolina,1473.9,108
2019,4,Northern Illinois,1473.2,109
2019,4,Old Dominion,1471.5,110
2019,4,Vanderbilt,1471.4,111
2019,4,Middle Tennessee,1462.7,112
2019,4,UL Monroe,1462.5,113
2019,4,Florida International,1462.1,114
2019,4,UConn,1456.6,115
2019,4,Miami (OH),1449.8,116
2019,4,Colorado State,1447.6,117
2019,4,UNLV,1447.2,118
2019,4,Texas State,1441.5,119
2019,4,Liberty,1435.8,120
2019,4,Ohio,1420.3,121
2019,4,UTEP,1418.6,122
2019,4,South Alabama,1412.5,123
2019,4,UTSA,1411.9,124
2019,4,Ball State,1408.9,125
2019,4,Rice,1384.1,126
2019,4,New Mexico State,1375.3,127
2019,4,Bowling Green,1365.8,128
2019,4,Akron,1330.0,129
2019,4,Massachusetts,1308.4,130
2019,5,Ohio State,1878.9,1
2019,5,Alabama,1846.8,2
2019,5,Clemson,1817.9,3
2019,5,Georgia,1813.9,4
2019,5,Auburn,1805.9,5
2019,5,LSU,1797.9,6
2019,5,Oklahoma,1779.2,7
2019,5,Penn State,1778.9,8
2019,5,Wisconsin,1771.2,9
2019,5,Florida,1768.3,10
2019,5,Washington,1760.7,11
2019,5,Notre Dame,1753.3,12
2019,5,SMU,1731.0,13
2019,5,Michigan State,1726.3,14
2019,5,Texas,1724.4,15
2019,5,Oregon,1721.7,16
2019,5,Oklahoma State,1719.0,17
2019,5,USC,1707.1,18
2019,5,Iowa,1706.4,19
2019,5,UCF,1701.0,20
2019,5,Wake Forest,1696.9,21
2019,5,Utah,1693.5,22
2019,5,Baylor,1692.2,23
2019,5,Michigan,1689.7,24
2019,5,Arizona State,1689.5,25
2019,5,Memphis,1689.2,26
2019,5,TCU,1686.6,27
2019,5,Duke,1685.2,28
2019,5,Florida State,1674.4,29
2019,5,Cincinnati,1671.7,30
2019,5,Boise State,1667.0,31
2019,5,Virginia,1665.2,32
2019,5,Minnesota,1664.6,33
2019,5,Texas A&M,1657.9,34
2019,5,Missouri,1656.5,35
2019,5,Mississippi State,1648.9,36
2019,5,Nebraska,1647.5,37
2019,5,Kansas State,1639.1,38
2019,5,Miami,1639.1,39
2019,5,West Virginia,1637.0,40
2019,5,Colorado,1635.2,41
2019,5,California,1633.7,42
2019,5,App State,1629.5,43
2019,5,Louisiana Tech,1621.5,44
2019,5,Hawai'i,1620.2,45
2019,5,Illinois,1615.7,46
2019,5,Arizona,1613.2,47
2019,5,Iowa State,1610.7,48
2019,5,Louisiana,1606.7,49
2019,5,North Carolina,1602.9,50
2019,5,Wyoming,1602.2,51
2019,5,San Diego State,1602.0,52
2019,5,Tulane,1599.8,53
2019,5,Maryland,1595.2,54
2019,5,Ole Miss,1594.8,55
